layout,payload,frames,publish_every,write_ns_per_frame,read_ns_per_frame,pages,page_capacity,header_capacity_bytes,published_chunks,chunk_capacity_bytes,write_allocations
Indexed,100,1,1,88.99,59.67,1,128,64,1,128,5
Packed,100,1,1,87.32,75.46,1,128,0,1,128,4
Indexed,100,1,32,86.66,59.22,1,128,64,1,128,5
Packed,100,1,32,79.44,76.16,1,128,0,1,128,4
Indexed,100,4,1,65.47,62.54,3,896,64,6,256,10
Packed,100,4,1,62.24,78.57,3,896,0,6,256,9
Indexed,100,4,32,49.95,62.04,3,896,64,3,128,9
Packed,100,4,32,50.33,77.53,3,896,0,3,128,8
Indexed,0,65536,1,18.28,24.83,0,0,1048576,0,0,16
Packed,0,65536,1,26.98,40.82,25,1113984,0,65536,2097152,66
Indexed,0,65536,32,17.64,24.32,0,0,1048576,0,0,16
Packed,0,65536,32,17.81,40.04,25,1113984,0,2072,131072,62
Indexed,1,65536,1,24.20,48.19,10,130944,1048576,65536,2097152,51
Packed,1,65536,1,25.18,62.82,26,1179520,0,65559,4194304,69
Indexed,1,65536,32,17.07,45.91,10,130944,1048576,2048,65536,46
Packed,1,65536,32,16.57,63.11,26,1179520,0,2071,131072,64
Indexed,16,65536,1,23.85,48.01,25,1113984,1048576,65536,2097152,81
Packed,16,65536,1,24.21,62.03,41,2162560,0,65536,2097152,98
Indexed,16,65536,32,16.75,46.82,25,1113984,1048576,2072,131072,77
Packed,16,65536,32,16.65,61.10,41,2162560,0,2088,131072,94
Indexed,64,65536,1,25.63,47.82,73,4259712,1048576,65536,2097152,177
Packed,64,65536,1,26.53,61.88,89,5308288,0,65606,4194304,195
Indexed,64,65536,32,18.03,45.74,73,4259712,1048576,2120,131072,173
Packed,64,65536,32,16.92,61.96,89,5308288,0,2136,131072,190
Indexed,256,65536,1,105.27,45.99,264,16842496,1048576,65536,2097152,559
Packed,256,65536,1,95.19,60.80,279,17890816,0,65798,4194304,575
Indexed,256,65536,32,82.65,44.82,264,16842496,1048576,2311,131072,555
Packed,256,65536,32,80.62,60.48,279,17890816,0,2310,131072,570
Indexed,1024,8192,1,297.13,45.75,134,8453120,131072,8192,262144,293
Packed,1024,8192,1,239.39,62.00,135,8583168,0,8324,524288,284
Indexed,1024,8192,32,118.74,44.81,134,8453120,131072,389,16384,289
Packed,1024,8192,32,85.92,61.71,135,8583168,0,388,16384,279
