layout,payload,frames,publish_every,write_ns_per_frame,read_ns_per_frame,pages,page_capacity,header_capacity_bytes,published_chunks,chunk_capacity_bytes,write_allocations
Indexed,100,1,1,88.56,59.07,1,128,64,1,128,5
Packed,100,1,1,80.06,74.09,1,128,0,1,128,4
Indexed,100,1,32,85.73,58.94,1,128,64,1,128,5
Packed,100,1,32,78.96,74.46,1,128,0,1,128,4
Indexed,100,4,1,61.49,62.32,3,896,64,6,256,10
Packed,100,4,1,61.83,74.38,3,896,0,6,256,9
Indexed,100,4,32,49.26,60.98,3,896,64,3,128,9
Packed,100,4,32,49.88,73.54,3,896,0,3,128,8
Indexed,0,65536,1,18.15,23.66,0,0,1048576,0,0,16
Packed,0,65536,1,25.48,39.71,25,1113984,0,65536,2097152,66
Indexed,0,65536,32,17.57,23.61,0,0,1048576,0,0,16
Packed,0,65536,32,17.63,39.65,25,1113984,0,2072,131072,62
Indexed,1,65536,1,23.42,46.36,10,130944,1048576,65536,2097152,51
Packed,1,65536,1,24.27,60.04,26,1179520,0,65559,4194304,69
Indexed,1,65536,32,15.51,45.21,10,130944,1048576,2048,65536,46
Packed,1,65536,32,16.21,59.98,26,1179520,0,2071,131072,64
Indexed,16,65536,1,22.65,46.31,25,1113984,1048576,65536,2097152,81
Packed,16,65536,1,23.83,60.27,41,2162560,0,65536,2097152,98
Indexed,16,65536,32,16.33,45.22,25,1113984,1048576,2072,131072,77
Packed,16,65536,32,16.40,60.18,41,2162560,0,2088,131072,94
Indexed,64,65536,1,23.81,46.29,73,4259712,1048576,65536,2097152,177
Packed,64,65536,1,26.01,60.85,89,5308288,0,65606,4194304,195
Indexed,64,65536,32,17.81,45.21,73,4259712,1048576,2120,131072,173
Packed,64,65536,32,16.27,60.66,89,5308288,0,2136,131072,190
Indexed,256,65536,1,101.13,46.04,264,16842496,1048576,65536,2097152,559
Packed,256,65536,1,93.48,60.28,279,17890816,0,65798,4194304,575
Indexed,256,65536,32,82.38,44.84,264,16842496,1048576,2311,131072,555
Packed,256,65536,32,80.18,60.44,279,17890816,0,2310,131072,570
Indexed,1024,8192,1,290.27,45.73,134,8453120,131072,8192,262144,293
Packed,1024,8192,1,256.71,63.11,135,8583168,0,8324,524288,284
Indexed,1024,8192,32,118.38,44.82,134,8453120,131072,389,16384,289
Packed,1024,8192,32,83.23,61.60,135,8583168,0,388,16384,279
