layout,payload,frames,publish_every,write_ns_per_frame,read_ns_per_frame,pages,page_capacity,header_capacity_bytes,published_chunks,chunk_capacity_bytes,write_allocations
Indexed,100,1,1,220.25,77.45,1,128,64,1,128,6
Packed,100,1,1,231.86,100.17,1,128,0,1,128,5
Indexed,100,1,32,168.43,58.94,1,128,64,1,128,6
Packed,100,1,32,288.04,86.63,1,128,0,1,128,5
Indexed,100,4,1,428.10,89.04,3,896,64,6,256,11
Packed,100,4,1,1670.08,489.75,3,896,0,6,256,10
Indexed,100,4,32,698.71,90.02,3,896,64,3,128,10
Packed,100,4,32,208.89,1261.82,3,896,0,3,128,9
Indexed,0,65536,1,104.18,285.29,0,0,1048576,0,0,17
Packed,0,65536,1,172.50,718.00,25,1113984,0,65536,2097152,67
Indexed,0,65536,32,313.71,60.01,0,0,1048576,0,0,17
Packed,0,65536,32,87.64,678.74,25,1113984,0,2072,131072,63
Indexed,1,65536,1,325.78,763.23,10,130944,1048576,65536,2097152,52
Packed,1,65536,1,259.66,766.10,26,1179520,0,65559,4194304,70
Indexed,1,65536,32,121.83,171.88,10,130944,1048576,2048,65536,47
Packed,1,65536,32,202.70,790.67,26,1179520,0,2071,131072,65
Indexed,16,65536,1,293.46,250.78,25,1113984,1048576,65536,2097152,82
Packed,16,65536,1,436.99,584.69,41,2162560,0,65536,2097152,99
Indexed,16,65536,32,86.59,477.16,25,1113984,1048576,2072,131072,78
Packed,16,65536,32,106.35,456.62,41,2162560,0,2088,131072,95
Indexed,64,65536,1,478.32,494.74,73,4259712,1048576,65536,2097152,178
Packed,64,65536,1,282.80,498.18,89,5308288,0,65606,4194304,196
Indexed,64,65536,32,116.63,293.96,73,4259712,1048576,2120,131072,174
Packed,64,65536,32,204.65,941.25,89,5308288,0,2136,131072,191
Indexed,256,65536,1,740.56,948.19,264,16842496,1048576,65536,2097152,560
Packed,256,65536,1,472.61,668.42,279,17890816,0,65798,4194304,576
Indexed,256,65536,32,67.07,435.03,264,16842496,1048576,2311,131072,556
Packed,256,65536,32,221.54,829.23,279,17890816,0,2310,131072,571
Indexed,1024,8192,1,1324.24,215.45,134,8453120,131072,8192,262144,294
Packed,1024,8192,1,1021.36,983.53,135,8583168,0,8324,524288,285
Indexed,1024,8192,32,1012.48,494.53,134,8453120,131072,389,16384,290
Packed,1024,8192,32,1180.39,1843.23,135,8583168,0,388,16384,280
