layout,payload,frames,publish_every,write_ns_per_frame,read_ns_per_frame,pages,page_capacity,header_capacity_bytes,published_chunks,chunk_capacity_bytes,write_allocations
Indexed,100,1,1,229.00,86.67,1,128,64,1,128,6
Packed,100,1,1,151.86,86.82,1,128,0,1,128,5
Indexed,100,1,32,163.08,59.81,1,128,64,1,128,6
Packed,100,1,32,223.88,112.24,1,128,0,1,128,5
Indexed,100,4,1,166.13,56.96,3,896,64,6,256,11
Packed,100,4,1,212.45,98.85,3,896,0,6,256,10
Indexed,100,4,32,282.53,94.17,3,896,64,3,128,10
Packed,100,4,32,248.42,108.34,3,896,0,3,128,9
Indexed,0,65536,1,40.73,51.00,0,0,1048576,0,0,17
Packed,0,65536,1,57.69,98.97,25,1113984,0,65536,2097152,67
Indexed,0,65536,32,37.30,443.96,0,0,1048576,0,0,17
Packed,0,65536,32,70.89,79.19,25,1113984,0,2072,131072,63
Indexed,1,65536,1,79.55,621.43,10,130944,1048576,65536,2097152,52
Packed,1,65536,1,71.42,199.57,26,1179520,0,65559,4194304,70
Indexed,1,65536,32,46.51,296.23,10,130944,1048576,2048,65536,47
Packed,1,65536,32,122.31,640.30,26,1179520,0,2071,131072,65
Indexed,16,65536,1,498.94,437.36,25,1113984,1048576,65536,2097152,82
Packed,16,65536,1,76.79,338.09,41,2162560,0,65536,2097152,99
Indexed,16,65536,32,36.16,428.15,25,1113984,1048576,2072,131072,78
Packed,16,65536,32,46.04,590.02,41,2162560,0,2088,131072,95
Indexed,64,65536,1,270.83,305.71,73,4259712,1048576,65536,2097152,178
Packed,64,65536,1,106.22,215.73,89,5308288,0,65606,4194304,196
Indexed,64,65536,32,158.04,346.38,73,4259712,1048576,2120,131072,174
Packed,64,65536,32,156.45,676.39,89,5308288,0,2136,131072,191
Indexed,256,65536,1,91.11,902.21,264,16842496,1048576,65536,2097152,560
Packed,256,65536,1,479.72,911.19,279,17890816,0,65798,4194304,576
Indexed,256,65536,32,226.32,263.83,264,16842496,1048576,2311,131072,556
Packed,256,65536,32,72.03,1168.08,279,17890816,0,2310,131072,571
Indexed,1024,8192,1,881.40,304.40,134,8453120,131072,8192,262144,294
Packed,1024,8192,1,150.58,241.75,135,8583168,0,8324,524288,285
Indexed,1024,8192,32,553.42,319.19,134,8453120,131072,389,16384,290
Packed,1024,8192,32,556.54,1681.42,135,8583168,0,388,16384,280
