scope,layout,payload,input_mode,frames,write_ns_per_frame,read_ns_per_frame,allocations,requested_bytes,first_read_allocations
storage,records,0,shared,65536,6.54,2.68,15,6291264,0
storage,slab,0,shared,65536,18.44,5.09,16,6291304,0
storage,packed,0,shared,65536,5.88,2.00,19,2097168,0
storage,records,0,borrowed,65536,10.96,3.00,15,6291264,0
storage,slab,0,borrowed,65536,19.18,5.20,16,6291304,0
storage,packed,0,borrowed,65536,6.19,2.02,19,2097168,0
storage,records,0,owned,65536,7.50,2.41,15,6291264,0
storage,slab,0,owned,65536,19.85,5.19,16,6291304,0
storage,packed,0,owned,65536,8.78,2.06,19,2097168,0
model,whole,0,na,65536,65.26,58.55,15,6291264,na
model,borrowed,0,na,65536,71.64,57.47,15,6291264,na
model,stream,0,na,65536,183.02,59.30,65551,11009856,na
model,chunked,0,na,65536,244.61,58.48,65551,11009856,na
storage,records,1,shared,65536,7.96,4.55,15,6291264,0
storage,slab,1,shared,65536,22.77,5.14,17,6356840,0
storage,packed,1,shared,65536,6.53,3.82,19,2097168,0
storage,records,1,borrowed,65536,19.10,15.90,65551,6356800,65536
storage,slab,1,borrowed,65536,22.85,5.19,17,6356840,0
storage,packed,1,borrowed,65536,6.82,3.81,19,2097168,0
storage,records,1,owned,65536,16.02,15.37,65551,6356800,65536
storage,slab,1,owned,65536,24.32,5.25,65553,6422376,0
storage,packed,1,owned,65536,14.70,3.81,65555,2162704,0
model,whole,1,na,65536,66.09,62.88,16,6291288,na
model,borrowed,1,na,65536,79.26,69.70,65551,6356800,na
model,stream,1,na,65536,185.49,64.05,65552,11009880,na
model,chunked,1,na,65536,250.19,63.03,196623,12648256,na
storage,records,16,shared,65536,7.44,4.61,15,6291264,0
storage,slab,16,shared,65536,22.92,5.23,47,7340480,0
storage,packed,16,shared,65536,7.41,3.98,20,4194320,0
storage,records,16,borrowed,65536,18.38,15.92,65551,7339840,65536
storage,slab,16,borrowed,65536,22.87,5.20,47,7340480,0
storage,packed,16,borrowed,65536,7.35,4.00,20,4194320,0
storage,records,16,owned,65536,15.62,15.95,65551,7339840,65536
storage,slab,16,owned,65536,23.95,5.27,65583,8389056,0
storage,packed,16,owned,65536,15.46,4.01,65556,5242896,0
model,whole,16,na,65536,68.99,61.54,16,6291288,na
model,borrowed,16,na,65536,78.06,70.73,65551,7339840,na
model,stream,16,na,65536,189.05,60.57,65552,11009880,na
model,chunked,16,na,65536,272.83,64.24,131137,13173216,na
storage,records,64,shared,65536,7.52,4.55,15,6291264,0
storage,slab,64,shared,65536,24.92,5.17,143,10488128,0
storage,packed,64,shared,65536,7.22,4.98,19,9961420,1
storage,records,64,borrowed,65536,20.18,16.07,65551,10485568,65536
storage,slab,64,borrowed,65536,23.85,5.29,143,10488128,0
storage,packed,64,borrowed,65536,8.46,5.03,19,9961420,1
storage,records,64,owned,65536,16.62,16.07,65551,10485568,65536
storage,slab,64,owned,65536,26.38,5.22,65679,14682432,0
storage,packed,64,owned,65536,14.96,5.11,65555,14155724,1
model,whole,64,na,65536,67.46,63.01,16,6291288,na
model,borrowed,64,na,65536,78.47,71.12,65551,10485568,na
model,stream,64,na,65536,187.68,64.29,65552,11009880,na
model,chunked,64,na,65536,277.44,65.32,131233,16320480,na
storage,records,256,shared,65536,7.55,4.56,15,6291264,0
storage,slab,256,shared,65536,77.27,5.27,527,23078720,0
storage,packed,256,shared,65536,18.81,5.90,19,35127052,1
storage,records,256,borrowed,65536,24.73,16.75,65551,23068480,65536
storage,slab,256,borrowed,65536,26.78,5.17,527,23078720,0
storage,packed,256,borrowed,65536,13.78,5.47,19,35127052,1
storage,records,256,owned,65536,21.71,15.51,65551,23068480,65536
storage,slab,256,owned,65536,29.67,5.14,66063,39855936,0
storage,packed,256,owned,65536,19.91,6.08,65555,51904268,1
model,whole,256,na,65536,64.87,60.08,16,6291288,na
model,borrowed,256,na,65536,81.66,67.67,65551,23068480,na
model,stream,256,na,65536,182.94,60.29,65552,11009880,na
model,chunked,256,na,65536,282.47,62.05,131615,28909376,na
storage,records,1024,shared,65536,7.32,4.57,15,6291264,0
storage,slab,1024,shared,65536,302.90,5.30,2063,73441088,0
storage,packed,1024,shared,65536,456.94,16.33,19,135789580,1
storage,records,1024,borrowed,65536,316.11,27.36,65551,73400128,65536
storage,slab,1024,borrowed,65536,308.61,5.33,2063,73441088,0
storage,packed,1024,borrowed,65536,467.24,17.47,19,135789580,1
storage,records,1024,owned,65536,319.11,27.24,65551,73400128,65536
storage,slab,1024,owned,65536,321.26,5.32,67599,140549952,0
storage,packed,1024,owned,65536,485.29,16.78,65555,202898444,1
model,whole,1024,na,16384,64.95,60.47,14,1572696,na
model,borrowed,1024,na,16384,134.97,68.52,16397,18349888,na
model,stream,1024,na,16384,182.63,61.37,16398,2752344,na
model,chunked,1024,na,16384,328.09,62.07,33305,19864576,na
