scope,layout,payload,input_mode,frames,write_ns_per_frame,read_ns_per_frame,allocations,requested_bytes,first_read_allocations
storage,records,0,shared,65536,5.88,2.41,15,6291264,0
storage,slab,0,shared,65536,18.80,5.24,16,6291304,0
storage,packed,0,shared,65536,5.88,2.01,19,2097168,0
storage,records,0,borrowed,65536,8.32,2.38,15,6291264,0
storage,slab,0,borrowed,65536,19.99,5.20,16,6291304,0
storage,packed,0,borrowed,65536,6.09,2.01,19,2097168,0
storage,records,0,owned,65536,7.49,3.02,15,6291264,0
storage,slab,0,owned,65536,20.54,5.28,16,6291304,0
storage,packed,0,owned,65536,6.70,2.02,19,2097168,0
model,whole,0,na,65536,66.60,57.69,15,6291264,na
model,borrowed,0,na,65536,70.60,58.00,15,6291264,na
model,stream,0,na,65536,185.21,57.87,65551,11009856,na
model,chunked,0,na,65536,247.30,57.56,65551,11009856,na
storage,records,1,shared,65536,7.92,4.56,15,6291264,0
storage,slab,1,shared,65536,24.40,5.24,17,6356840,0
storage,packed,1,shared,65536,6.52,3.82,19,2097168,0
storage,records,1,borrowed,65536,18.59,15.13,65551,6356800,65536
storage,slab,1,borrowed,65536,23.73,5.25,17,6356840,0
storage,packed,1,borrowed,65536,6.85,3.81,19,2097168,0
storage,records,1,owned,65536,16.47,15.74,65551,6356800,65536
storage,slab,1,owned,65536,25.45,5.25,65553,6422376,0
storage,packed,1,owned,65536,15.49,3.85,65555,2162704,0
model,whole,1,na,65536,66.18,63.12,16,6291288,na
model,borrowed,1,na,65536,81.12,69.69,65551,6356800,na
model,stream,1,na,65536,190.19,62.27,65552,11009880,na
model,chunked,1,na,65536,244.46,61.33,196623,12648256,na
storage,records,16,shared,65536,7.34,4.62,15,6291264,0
storage,slab,16,shared,65536,22.14,5.16,47,7340480,0
storage,packed,16,shared,65536,7.08,4.00,20,4194320,0
storage,records,16,borrowed,65536,17.93,15.45,65551,7339840,65536
storage,slab,16,borrowed,65536,22.53,5.20,47,7340480,0
storage,packed,16,borrowed,65536,6.99,3.99,20,4194320,0
storage,records,16,owned,65536,15.14,15.32,65551,7339840,65536
storage,slab,16,owned,65536,23.98,5.26,65583,8389056,0
storage,packed,16,owned,65536,14.87,4.00,65556,5242896,0
model,whole,16,na,65536,66.93,62.11,16,6291288,na
model,borrowed,16,na,65536,78.66,68.82,65551,7339840,na
model,stream,16,na,65536,188.35,62.32,65552,11009880,na
model,chunked,16,na,65536,271.57,62.51,131137,13173216,na
storage,records,64,shared,65536,7.53,4.57,15,6291264,0
storage,slab,64,shared,65536,23.15,5.21,143,10488128,0
storage,packed,64,shared,65536,7.11,5.02,19,9961420,1
storage,records,64,borrowed,65536,18.45,15.10,65551,10485568,65536
storage,slab,64,borrowed,65536,23.21,5.19,143,10488128,0
storage,packed,64,borrowed,65536,7.54,5.06,19,9961420,1
storage,records,64,owned,65536,16.21,15.42,65551,10485568,65536
storage,slab,64,owned,65536,25.78,5.24,65679,14682432,0
storage,packed,64,owned,65536,15.26,5.04,65555,14155724,1
model,whole,64,na,65536,66.11,61.35,16,6291288,na
model,borrowed,64,na,65536,77.60,68.79,65551,10485568,na
model,stream,64,na,65536,189.91,61.94,65552,11009880,na
model,chunked,64,na,65536,278.65,63.55,131233,16320480,na
storage,records,256,shared,65536,7.44,4.62,15,6291264,0
storage,slab,256,shared,65536,78.40,5.38,527,23078720,0
storage,packed,256,shared,65536,20.05,6.49,19,35127052,1
storage,records,256,borrowed,65536,26.20,16.67,65551,23068480,65536
storage,slab,256,borrowed,65536,29.05,5.28,527,23078720,0
storage,packed,256,borrowed,65536,18.21,6.45,19,35127052,1
storage,records,256,owned,65536,24.34,15.57,65551,23068480,65536
storage,slab,256,owned,65536,30.77,5.31,66063,39855936,0
storage,packed,256,owned,65536,22.17,6.47,65555,51904268,1
model,whole,256,na,65536,65.30,60.94,16,6291288,na
model,borrowed,256,na,65536,81.65,67.72,65551,23068480,na
model,stream,256,na,65536,184.83,60.87,65552,11009880,na
model,chunked,256,na,65536,282.92,62.80,131615,28909376,na
storage,records,1024,shared,65536,7.38,4.67,15,6291264,0
storage,slab,1024,shared,65536,314.65,5.45,2063,73441088,0
storage,packed,1024,shared,65536,460.51,16.96,19,135789580,1
storage,records,1024,borrowed,65536,315.35,28.25,65551,73400128,65536
storage,slab,1024,borrowed,65536,303.48,5.34,2063,73441088,0
storage,packed,1024,borrowed,65536,453.34,16.87,19,135789580,1
storage,records,1024,owned,65536,313.57,27.43,65551,73400128,65536
storage,slab,1024,owned,65536,323.98,5.31,67599,140549952,0
storage,packed,1024,owned,65536,481.45,17.06,65555,202898444,1
model,whole,1024,na,16384,64.96,60.40,14,1572696,na
model,borrowed,1024,na,16384,131.22,70.33,16397,18349888,na
model,stream,1024,na,16384,191.44,60.82,16398,2752344,na
model,chunked,1024,na,16384,340.26,64.27,33305,19864576,na
