scope,layout,payload,input_mode,frames,write_ns_per_frame,read_ns_per_frame,allocations,requested_bytes,first_read_allocations
storage,records,0,shared,65536,6.52,2.37,15,6291264,0
storage,slab,0,shared,65536,18.07,5.19,16,6291304,0
storage,packed,0,shared,65536,5.97,2.04,19,2097168,0
storage,records,0,borrowed,65536,9.23,2.41,15,6291264,0
storage,slab,0,borrowed,65536,19.54,5.21,16,6291304,0
storage,packed,0,borrowed,65536,6.10,2.01,19,2097168,0
storage,records,0,owned,65536,7.55,2.39,15,6291264,0
storage,slab,0,owned,65536,19.94,5.22,16,6291304,0
storage,packed,0,owned,65536,6.38,1.98,19,2097168,0
model,whole,0,na,65536,64.03,56.25,15,6291264,na
model,borrowed,0,na,65536,67.93,56.05,15,6291264,na
model,stream,0,na,65536,196.71,58.89,65551,11009856,na
model,chunked,0,na,65536,236.66,56.05,65551,11009856,na
storage,records,1,shared,65536,7.77,4.48,15,6291264,0
storage,slab,1,shared,65536,22.51,5.12,17,6356840,0
storage,packed,1,shared,65536,6.61,3.77,19,2097168,0
storage,records,1,borrowed,65536,18.76,14.92,65551,6356800,65536
storage,slab,1,borrowed,65536,22.64,5.14,17,6356840,0
storage,packed,1,borrowed,65536,6.46,3.80,19,2097168,0
storage,records,1,owned,65536,15.63,14.91,65551,6356800,65536
storage,slab,1,owned,65536,24.05,5.16,65553,6422376,0
storage,packed,1,owned,65536,14.12,3.86,65555,2162704,0
model,whole,1,na,65536,64.15,60.17,16,6291288,na
model,borrowed,1,na,65536,75.13,67.85,65551,6356800,na
model,stream,1,na,65536,179.12,60.14,65552,11009880,na
model,chunked,1,na,65536,242.30,61.01,196623,12648256,na
storage,records,16,shared,65536,7.33,4.56,15,6291264,0
storage,slab,16,shared,65536,21.51,5.15,47,7340480,0
storage,packed,16,shared,65536,6.79,3.96,20,4194320,0
storage,records,16,borrowed,65536,17.64,14.93,65551,7339840,65536
storage,slab,16,borrowed,65536,21.92,5.19,47,7340480,0
storage,packed,16,borrowed,65536,6.73,3.96,20,4194320,0
storage,records,16,owned,65536,14.96,14.95,65551,7339840,65536
storage,slab,16,owned,65536,23.63,5.17,65583,8389056,0
storage,packed,16,owned,65536,15.14,4.12,65556,5242896,0
model,whole,16,na,65536,70.84,62.58,16,6291288,na
model,borrowed,16,na,65536,75.29,67.04,65551,7339840,na
model,stream,16,na,65536,188.76,62.49,65552,11009880,na
model,chunked,16,na,65536,263.32,68.74,196623,13107008,na
storage,records,64,shared,65536,7.53,4.65,15,6291264,0
storage,slab,64,shared,65536,24.80,5.20,143,10488128,0
storage,packed,64,shared,65536,6.99,5.21,19,9961420,1
storage,records,64,borrowed,65536,19.38,15.11,65551,10485568,65536
storage,slab,64,borrowed,65536,22.95,5.20,143,10488128,0
storage,packed,64,borrowed,65536,6.78,4.94,19,9961420,1
storage,records,64,owned,65536,16.64,15.09,65551,10485568,65536
storage,slab,64,owned,65536,24.94,5.20,65679,14682432,0
storage,packed,64,owned,65536,13.66,4.93,65555,14155724,1
model,whole,64,na,65536,69.92,61.52,16,6291288,na
model,borrowed,64,na,65536,75.27,68.22,65551,10485568,na
model,stream,64,na,65536,192.78,61.62,65552,11009880,na
model,chunked,64,na,65536,267.96,66.80,196623,16252736,na
storage,records,256,shared,65536,7.55,4.62,15,6291264,0
storage,slab,256,shared,65536,70.73,5.22,527,23078720,0
storage,packed,256,shared,65536,24.32,8.84,19,35127052,1
storage,records,256,borrowed,65536,26.43,15.16,65551,23068480,65536
storage,slab,256,borrowed,65536,26.63,5.09,527,23078720,0
storage,packed,256,borrowed,65536,22.40,8.09,19,35127052,1
storage,records,256,owned,65536,22.16,15.28,65551,23068480,65536
storage,slab,256,owned,65536,30.64,5.18,66063,39855936,0
storage,packed,256,owned,65536,32.86,8.68,65555,51904268,1
model,whole,256,na,65536,63.99,62.04,16,6291288,na
model,borrowed,256,na,65536,79.64,66.63,65551,23068480,na
model,stream,256,na,65536,182.80,61.80,65552,11009880,na
model,chunked,256,na,65536,265.01,65.96,196623,28835648,na
storage,records,1024,shared,65536,7.38,4.55,15,6291264,0
storage,slab,1024,shared,65536,297.31,5.29,2063,73441088,0
storage,packed,1024,shared,65536,445.34,16.39,19,135789580,1
storage,records,1024,borrowed,65536,303.61,26.98,65551,73400128,65536
storage,slab,1024,borrowed,65536,374.87,5.31,2063,73441088,0
storage,packed,1024,borrowed,65536,456.46,17.26,19,135789580,1
storage,records,1024,owned,65536,375.13,27.12,65551,73400128,65536
storage,slab,1024,owned,65536,383.93,5.25,67599,140549952,0
storage,packed,1024,owned,65536,490.53,17.61,65555,202898444,1
model,whole,1024,na,16384,64.54,59.89,14,1572696,na
model,borrowed,1024,na,16384,125.29,66.78,16397,18349888,na
model,stream,1024,na,16384,182.70,60.18,16398,2752344,na
model,chunked,1024,na,16384,348.83,75.14,49165,19791680,na
