scope,layout,payload,input_mode,frames,write_ns_per_frame,read_ns_per_frame,allocations,requested_bytes,first_read_allocations
storage,records,0,shared,65536,6.01,2.37,15,6291264,0
storage,slab,0,shared,65536,18.05,5.21,16,6291304,0
storage,packed,0,shared,65536,5.85,2.00,19,2097168,0
storage,records,0,borrowed,65536,8.10,2.51,15,6291264,0
storage,slab,0,borrowed,65536,18.76,5.30,16,6291304,0
storage,packed,0,borrowed,65536,6.53,2.09,19,2097168,0
storage,records,0,owned,65536,7.55,2.37,15,6291264,0
storage,slab,0,owned,65536,19.65,5.21,16,6291304,0
storage,packed,0,owned,65536,6.55,2.01,19,2097168,0
model,whole,0,na,65536,65.82,56.36,15,6291264,na
model,borrowed,0,na,65536,68.04,56.22,15,6291264,na
model,stream,0,na,65536,178.87,56.18,65551,11009856,na
model,chunked,0,na,65536,240.33,56.27,65551,11009856,na
storage,records,1,shared,65536,8.24,4.59,15,6291264,0
storage,slab,1,shared,65536,22.01,5.14,17,6356840,0
storage,packed,1,shared,65536,6.79,3.81,19,2097168,0
storage,records,1,borrowed,65536,19.00,15.47,65551,6356800,65536
storage,slab,1,borrowed,65536,21.98,5.18,17,6356840,0
storage,packed,1,borrowed,65536,6.56,3.82,19,2097168,0
storage,records,1,owned,65536,16.04,15.15,65551,6356800,65536
storage,slab,1,owned,65536,23.69,5.24,65553,6422376,0
storage,packed,1,owned,65536,14.47,3.85,65555,2162704,0
model,whole,1,na,65536,65.30,60.79,16,6291288,na
model,borrowed,1,na,65536,77.70,67.93,65551,6356800,na
model,stream,1,na,65536,181.51,61.64,65552,11009880,na
model,chunked,1,na,65536,245.03,61.35,196623,12648256,na
storage,records,16,shared,65536,7.68,4.56,15,6291264,0
storage,slab,16,shared,65536,22.13,5.21,47,7340480,0
storage,packed,16,shared,65536,7.00,4.00,20,4194320,0
storage,records,16,borrowed,65536,18.26,15.45,65551,7339840,65536
storage,slab,16,borrowed,65536,22.52,5.20,47,7340480,0
storage,packed,16,borrowed,65536,7.06,4.02,20,4194320,0
storage,records,16,owned,65536,15.21,15.40,65551,7339840,65536
storage,slab,16,owned,65536,23.64,5.23,65583,8389056,0
storage,packed,16,owned,65536,14.33,4.01,65556,5242896,0
model,whole,16,na,65536,66.41,60.95,16,6291288,na
model,borrowed,16,na,65536,76.48,67.84,65551,7339840,na
model,stream,16,na,65536,180.24,61.42,65552,11009880,na
model,chunked,16,na,65536,248.60,62.91,196623,13107008,na
storage,records,64,shared,65536,7.80,4.61,15,6291264,0
storage,slab,64,shared,65536,22.95,5.23,143,10488128,0
storage,packed,64,shared,65536,6.88,5.00,19,9961420,1
storage,records,64,borrowed,65536,19.00,15.58,65551,10485568,65536
storage,slab,64,borrowed,65536,23.92,5.24,143,10488128,0
storage,packed,64,borrowed,65536,7.01,5.02,19,9961420,1
storage,records,64,owned,65536,15.74,14.94,65551,10485568,65536
storage,slab,64,owned,65536,24.68,5.26,65679,14682432,0
storage,packed,64,owned,65536,14.19,5.01,65555,14155724,1
model,whole,64,na,65536,65.80,63.99,16,6291288,na
model,borrowed,64,na,65536,78.69,69.31,65551,10485568,na
model,stream,64,na,65536,180.44,61.23,65552,11009880,na
model,chunked,64,na,65536,248.33,62.16,196623,16252736,na
storage,records,256,shared,65536,7.80,4.56,15,6291264,0
storage,slab,256,shared,65536,71.67,5.27,527,23078720,0
storage,packed,256,shared,65536,24.55,6.98,19,35127052,1
storage,records,256,borrowed,65536,26.83,15.54,65551,23068480,65536
storage,slab,256,borrowed,65536,30.07,5.27,527,23078720,0
storage,packed,256,borrowed,65536,25.79,7.36,19,35127052,1
storage,records,256,owned,65536,23.30,16.55,65551,23068480,65536
storage,slab,256,owned,65536,31.25,5.21,66063,39855936,0
storage,packed,256,owned,65536,30.42,7.51,65555,51904268,1
model,whole,256,na,65536,65.62,61.51,16,6291288,na
model,borrowed,256,na,65536,82.73,68.71,65551,23068480,na
model,stream,256,na,65536,182.55,60.89,65552,11009880,na
model,chunked,256,na,65536,254.11,62.46,196623,28835648,na
storage,records,1024,shared,65536,7.70,4.63,15,6291264,0
storage,slab,1024,shared,65536,310.76,5.44,2063,73441088,0
storage,packed,1024,shared,65536,455.02,16.56,19,135789580,1
storage,records,1024,borrowed,65536,322.83,28.43,65551,73400128,65536
storage,slab,1024,borrowed,65536,376.86,5.34,2063,73441088,0
storage,packed,1024,borrowed,65536,457.97,16.54,19,135789580,1
storage,records,1024,owned,65536,379.82,27.21,65551,73400128,65536
storage,slab,1024,owned,65536,399.26,5.32,67599,140549952,0
storage,packed,1024,owned,65536,480.78,16.29,65555,202898444,1
model,whole,1024,na,16384,65.81,60.87,14,1572696,na
model,borrowed,1024,na,16384,126.92,67.71,16397,18349888,na
model,stream,1024,na,16384,181.52,60.99,16398,2752344,na
model,chunked,1024,na,16384,297.07,61.91,49165,19791680,na
