workload,input,delivery,frames,payload_bytes,readers,groups_per_sample,ns_per_frame,allocations,requested_bytes,peak_live_bytes,cached_live_bytes,retained_live_bytes,retained_payload_bytes,wakes
fixed-100,Owned,Backlog,60,6000,1,34,258.33,40,12324,8932,8932,0,64,0
fixed-100,Owned,Live,60,6000,1,34,273.51,41,12516,9124,9124,0,64,61
fixed-100,Owned,Fanout,60,6000,8,34,1521.14,123,23812,16580,16516,0,64,488
fixed-100,StreamOwned,Backlog,60,6000,1,34,371.00,100,16644,9004,8932,0,64,0
fixed-100,StreamOwned,Live,60,6000,1,34,556.02,161,17796,9212,9212,88,64,181
fixed-100,StreamOwned,Fanout,60,6000,8,34,2236.42,783,43492,16684,16604,88,64,1448
fixed-100,Split,Backlog,60,6000,1,34,482.91,172,25860,22468,22468,4216,64,0
fixed-100,Split,Live,60,6000,1,34,668.51,293,27972,22676,22676,4216,50,241
fixed-100,Split,Fanout,60,6000,8,34,2624.94,1395,64228,30132,30068,4216,50,1928
fixed-100,Chunk1200,Backlog,60,6000,1,34,406.41,220,24084,16444,16372,124,64,0
fixed-100,Chunk1200,Live,60,6000,1,34,551.31,281,25236,16652,16652,212,64,181
fixed-100,Chunk1200,Fanout,60,6000,8,34,2164.22,903,50932,24108,24044,212,64,1448
fixed-100,Chunk16k,Backlog,60,6000,1,34,401.42,220,24084,16444,16372,124,64,0
fixed-100,Chunk16k,Live,60,6000,1,34,502.72,281,25236,16652,16652,212,64,181
fixed-100,Chunk16k,Fanout,60,6000,8,34,2144.62,903,50932,24108,24044,212,64,1448
fixed-256,Owned,Backlog,60,15360,1,34,237.90,40,12324,8932,8932,0,64,0
fixed-256,Owned,Live,60,15360,1,34,272.66,41,12516,9124,9124,0,64,61
fixed-256,Owned,Fanout,60,15360,8,34,1401.77,123,23812,16580,16516,0,64,488
fixed-256,StreamOwned,Backlog,60,15360,1,34,369.55,100,16644,9004,8932,0,64,0
fixed-256,StreamOwned,Live,60,15360,1,34,500.26,161,17796,9212,9212,88,64,181
fixed-256,StreamOwned,Fanout,60,15360,8,34,2246.78,783,43492,16684,16604,88,64,1448
fixed-256,Split,Backlog,60,15360,1,34,486.97,172,33924,30532,30532,8312,64,0
fixed-256,Split,Live,60,15360,1,34,741.86,293,36036,30740,30740,8312,64,241
fixed-256,Split,Fanout,60,15360,8,34,2649.73,1395,72292,38196,38132,8312,64,1928
fixed-256,Chunk1200,Backlog,60,15360,1,34,410.84,220,33444,25804,25732,280,64,0
fixed-256,Chunk1200,Live,60,15360,1,34,560.86,281,34596,26012,26012,368,64,181
fixed-256,Chunk1200,Fanout,60,15360,8,34,2163.78,903,60292,33468,33404,368,64,1448
fixed-256,Chunk16k,Backlog,60,15360,1,34,416.58,220,33444,25804,25732,280,64,0
fixed-256,Chunk16k,Live,60,15360,1,34,563.94,281,34596,26012,26012,368,64,181
fixed-256,Chunk16k,Fanout,60,15360,8,34,2145.40,903,60292,33468,33404,368,64,1448
fixed-1000,Owned,Backlog,60,60000,1,34,252.26,40,12324,8932,8932,0,64,0
fixed-1000,Owned,Live,60,60000,1,34,287.03,41,12516,9124,9124,0,64,61
fixed-1000,Owned,Fanout,60,60000,8,34,1385.15,123,23812,16580,16516,0,64,488
fixed-1000,StreamOwned,Backlog,60,60000,1,34,361.87,100,16644,9004,8932,0,64,0
fixed-1000,StreamOwned,Live,60,60000,1,34,500.75,161,17796,9212,9212,88,64,181
fixed-1000,StreamOwned,Fanout,60,60000,8,34,2302.31,783,43492,16684,16604,88,64,1448
fixed-1000,Split,Backlog,60,60000,1,34,513.53,172,82308,78916,78916,32888,64,0
fixed-1000,Split,Live,60,60000,1,34,758.50,293,84420,79124,79124,32888,64,241
fixed-1000,Split,Fanout,60,60000,8,34,2643.42,1395,120676,86580,86516,32888,64,1928
fixed-1000,Chunk1200,Backlog,60,60000,1,34,453.34,220,78084,70444,70372,1024,64,0
fixed-1000,Chunk1200,Live,60,60000,1,34,533.26,281,79236,70652,70652,1112,64,181
fixed-1000,Chunk1200,Fanout,60,60000,8,34,2185.75,903,104932,78108,78044,1112,64,1448
fixed-1000,Chunk16k,Backlog,60,60000,1,34,448.32,220,78084,70444,70372,1024,64,0
fixed-1000,Chunk16k,Live,60,60000,1,34,524.61,281,79236,70652,70652,1112,64,181
fixed-1000,Chunk16k,Fanout,60,60000,8,34,2202.24,903,104932,78108,78044,1112,64,1448
fixed-4096,Owned,Backlog,60,245760,1,34,238.52,40,12324,8932,8932,0,64,0
fixed-4096,Owned,Live,60,245760,1,34,271.85,41,12516,9124,9124,0,64,61
fixed-4096,Owned,Fanout,60,245760,8,34,1392.33,123,23812,16580,16516,0,64,488
fixed-4096,StreamOwned,Backlog,60,245760,1,34,370.59,100,16644,9004,8932,0,64,0
fixed-4096,StreamOwned,Live,60,245760,1,34,495.28,161,17796,9212,9212,88,64,181
fixed-4096,StreamOwned,Fanout,60,245760,8,34,2226.40,783,43492,16684,16604,88,64,1448
fixed-4096,Split,Backlog,60,245760,1,34,591.06,174,275876,272484,272484,65656,64,0
fixed-4096,Split,Live,60,245760,1,34,1469.18,295,277988,272692,272692,65656,64,241
fixed-4096,Split,Fanout,60,245760,8,34,2855.18,1397,314244,280148,280084,65656,64,1928
fixed-4096,Chunk1200,Backlog,60,245760,1,34,1093.55,174,275876,272484,272484,65656,64,0
fixed-4096,Chunk1200,Live,60,245760,1,34,1218.64,415,279908,272692,272692,65656,64,361
fixed-4096,Chunk1200,Fanout,60,245760,8,34,3784.45,2477,337284,280148,280084,65656,64,2888
fixed-4096,Chunk16k,Backlog,60,245760,1,34,1181.95,220,263844,256204,256132,4120,64,0
fixed-4096,Chunk16k,Live,60,245760,1,34,1261.44,281,264996,256412,256412,4208,64,181
fixed-4096,Chunk16k,Fanout,60,245760,8,34,2882.06,903,290692,263868,263804,4208,64,1448
fixed-16384,Owned,Backlog,60,983040,1,8,242.98,40,12324,8932,8932,0,64,0
fixed-16384,Owned,Live,60,983040,1,8,276.73,41,12516,9124,9124,0,64,61
fixed-16384,Owned,Fanout,60,983040,8,8,1449.66,123,23812,16580,16516,0,64,488
fixed-16384,StreamOwned,Backlog,60,983040,1,8,373.99,100,16644,9004,8932,0,64,0
fixed-16384,StreamOwned,Live,60,983040,1,8,571.37,161,17796,9212,9212,88,64,181
fixed-16384,StreamOwned,Fanout,60,983040,8,8,2373.55,783,43492,16684,16604,88,64,1448
fixed-16384,Split,Backlog,60,983040,1,8,5560.44,194,1050340,1046948,1046948,65656,64,0
fixed-16384,Split,Live,60,983040,1,8,1358.51,315,1052452,1047156,1047156,65656,64,241
fixed-16384,Split,Fanout,60,983040,8,8,8662.13,1417,1088708,1054612,1054548,65656,64,1928
fixed-16384,Chunk1200,Backlog,60,983040,1,8,6095.78,194,1050340,1046948,1046948,65656,64,0
fixed-16384,Chunk1200,Live,60,983040,1,8,2965.89,1035,1063972,1047156,1047156,65656,64,961
fixed-16384,Chunk1200,Fanout,60,983040,8,8,15192.81,7897,1226948,1054612,1054548,65656,64,7688
fixed-16384,Chunk16k,Backlog,60,983040,1,8,5658.83,220,1001124,993484,993412,16408,64,0
fixed-16384,Chunk16k,Live,60,983040,1,8,5382.62,281,1002276,993692,993692,16496,64,181
fixed-16384,Chunk16k,Fanout,60,983040,8,8,6602.21,903,1027972,1001148,1001084,16496,64,1448
fixed-32768,Owned,Backlog,60,1966080,1,4,244.62,40,12324,8932,8932,0,64,0
fixed-32768,Owned,Live,60,1966080,1,4,292.80,41,12516,9124,9124,0,64,61
fixed-32768,Owned,Fanout,60,1966080,8,4,1577.22,123,23812,16580,16516,0,64,488
fixed-32768,StreamOwned,Backlog,60,1966080,1,4,393.66,100,16644,9004,8932,0,64,0
fixed-32768,StreamOwned,Live,60,1966080,1,4,556.63,161,17796,9212,9212,88,64,181
fixed-32768,StreamOwned,Fanout,60,1966080,8,4,2610.87,783,43492,16684,16604,88,64,1448
fixed-32768,Split,Backlog,60,1966080,1,4,12006.13,222,2017444,2014052,2014052,65656,64,0
fixed-32768,Split,Live,60,1966080,1,4,12819.24,343,2019556,2014260,2014260,65656,64,241
fixed-32768,Split,Fanout,60,1966080,8,4,14196.08,1445,2055812,2021716,2021652,65656,64,1928
fixed-32768,Chunk1200,Backlog,60,1966080,1,4,13161.42,222,2017444,2014052,2014052,65656,64,0
fixed-32768,Chunk1200,Live,60,1966080,1,4,15515.15,1903,2044516,2014260,2014260,65656,64,1801
fixed-32768,Chunk1200,Fanout,60,1966080,8,4,27862.54,15485,2355332,2021716,2021652,65656,64,14408
fixed-32768,Chunk16k,Backlog,60,1966080,1,4,11923.26,222,2017444,2014052,2014052,65656,64,0
fixed-32768,Chunk16k,Live,60,1966080,1,4,12263.20,343,2019556,2014260,2014260,65656,64,241
fixed-32768,Chunk16k,Fanout,60,1966080,8,4,14348.75,1445,2055812,2021716,2021652,65656,64,1928
fixed-65536,Owned,Backlog,60,3932160,1,2,249.31,40,12324,8932,8932,0,64,0
fixed-65536,Owned,Live,60,3932160,1,2,299.64,41,12516,9124,9124,0,64,61
fixed-65536,Owned,Fanout,60,3932160,8,2,1566.70,123,23812,16580,16516,0,64,488
fixed-65536,StreamOwned,Backlog,60,3932160,1,2,383.56,100,16644,9004,8932,0,64,0
fixed-65536,StreamOwned,Live,60,3932160,1,2,569.83,161,17796,9212,9212,88,64,181
fixed-65536,StreamOwned,Fanout,60,3932160,8,2,2555.06,783,43492,16684,16604,88,64,1448
fixed-65536,Split,Backlog,60,3932160,1,2,23593.55,280,3951684,3948292,3948292,65656,64,0
fixed-65536,Split,Live,60,3932160,1,2,22569.22,401,3953796,3948500,3948500,65656,64,241
fixed-65536,Split,Fanout,60,3932160,8,2,5305.89,1503,3990052,3955956,3955892,65656,64,1928
fixed-65536,Chunk1200,Backlog,60,3932160,1,2,26124.90,280,3951684,3948292,3948292,65656,64,0
fixed-65536,Chunk1200,Live,60,3932160,1,2,29093.48,3581,4004676,3948500,3948500,65656,64,3421
