workload,input,delivery,frames,payload_bytes,readers,groups_per_sample,ns_per_frame,allocations,requested_bytes,peak_live_bytes,cached_live_bytes,retained_live_bytes,retained_payload_bytes,wakes
fixed-100,Owned,Backlog,60,6000,1,34,245.07,40,12300,8908,8908,0,64,0
fixed-100,Owned,Live,60,6000,1,34,280.55,41,12492,9100,9100,0,64,61
fixed-100,Owned,Fanout,60,6000,8,34,1406.53,123,23788,16556,16492,0,64,488
fixed-100,StreamOwned,Backlog,60,6000,1,34,402.15,100,16620,8980,8908,0,64,0
fixed-100,StreamOwned,Live,60,6000,1,34,545.05,161,17772,9188,9188,88,64,181
fixed-100,StreamOwned,Fanout,60,6000,8,34,2169.98,783,43468,16660,16580,88,64,1448
fixed-100,Split,Backlog,60,6000,1,34,460.66,220,23580,20188,20188,188,64,0
fixed-100,Split,Live,60,6000,1,34,662.07,341,25692,20396,20396,188,50,241
fixed-100,Split,Fanout,60,6000,8,34,2668.07,1443,61948,27852,27788,188,50,1928
fixed-100,Chunk1200,Backlog,60,6000,1,34,399.36,220,24060,16420,16348,124,64,0
fixed-100,Chunk1200,Live,60,6000,1,34,568.82,281,25212,16628,16628,212,64,181
fixed-100,Chunk1200,Fanout,60,6000,8,34,2216.48,903,50908,24084,24020,212,64,1448
fixed-100,Chunk16k,Backlog,60,6000,1,34,395.76,220,24060,16420,16348,124,64,0
fixed-100,Chunk16k,Live,60,6000,1,34,586.94,281,25212,16628,16628,212,64,181
fixed-100,Chunk16k,Fanout,60,6000,8,34,2240.16,903,50908,24084,24020,212,64,1448
fixed-256,Owned,Backlog,60,15360,1,34,242.71,40,12300,8908,8908,0,64,0
fixed-256,Owned,Live,60,15360,1,34,277.04,41,12492,9100,9100,0,64,61
fixed-256,Owned,Fanout,60,15360,8,34,1374.72,123,23788,16556,16492,0,64,488
fixed-256,StreamOwned,Backlog,60,15360,1,34,369.69,100,16620,8980,8908,0,64,0
fixed-256,StreamOwned,Live,60,15360,1,34,541.66,161,17772,9188,9188,88,64,181
fixed-256,StreamOwned,Fanout,60,15360,8,34,2144.83,783,43468,16660,16580,88,64,1448
fixed-256,Split,Backlog,60,15360,1,34,521.87,220,32940,29548,29548,344,64,0
fixed-256,Split,Live,60,15360,1,34,735.41,341,35052,29756,29756,344,64,241
fixed-256,Split,Fanout,60,15360,8,34,2700.05,1443,71308,37212,37148,344,64,1928
fixed-256,Chunk1200,Backlog,60,15360,1,34,409.95,220,33420,25780,25708,280,64,0
fixed-256,Chunk1200,Live,60,15360,1,34,587.65,281,34572,25988,25988,368,64,181
fixed-256,Chunk1200,Fanout,60,15360,8,34,2208.38,903,60268,33444,33380,368,64,1448
fixed-256,Chunk16k,Backlog,60,15360,1,34,403.64,220,33420,25780,25708,280,64,0
