scope,layout,payload,input_mode,frames,write_ns_per_frame,read_ns_per_frame,allocations,requested_bytes,first_read_allocations
storage,records,0,shared,65536,2.71,1.30,15,6291264,0
storage,slab,0,shared,65536,6.09,3.75,16,6291304,0
storage,packed,0,shared,65536,5.44,1.27,19,2097168,0
storage,records,0,borrowed,65536,3.75,1.24,15,6291264,0
storage,slab,0,borrowed,65536,5.49,3.44,16,6291304,0
storage,packed,0,borrowed,65536,5.03,1.18,19,2097168,0
storage,records,0,owned,65536,3.09,1.15,15,6291264,0
storage,slab,0,owned,65536,6.04,3.49,16,6291304,0
storage,packed,0,owned,65536,12.16,1.17,19,2097168,0
model,whole,0,na,65536,37.10,29.03,15,6291264,na
model,borrowed,0,na,65536,36.12,29.61,15,6291264,na
model,stream,0,na,65536,118.35,29.13,65551,11009856,na
model,chunked,0,na,65536,155.30,29.41,65551,11009856,na
storage,records,1,shared,65536,2.77,3.54,15,6291264,0
storage,slab,1,shared,65536,6.61,3.30,17,6356840,0
storage,packed,1,shared,65536,8.07,3.39,19,2097168,0
storage,records,1,borrowed,65536,12.82,10.51,65551,6356800,65536
storage,slab,1,borrowed,65536,6.48,3.27,17,6356840,0
storage,packed,1,borrowed,65536,7.94,3.32,19,2097168,0
storage,records,1,owned,65536,10.74,10.64,65551,6356800,65536
storage,slab,1,owned,65536,22.17,3.38,65553,6422376,0
storage,packed,1,owned,65536,20.35,3.32,65555,2162704,0
model,whole,1,na,65536,37.20,32.02,16,6291288,na
model,borrowed,1,na,65536,40.27,39.60,65551,6356800,na
model,stream,1,na,65536,123.96,32.91,65552,11009880,na
model,chunked,1,na,65536,161.90,33.19,196623,12648256,na
storage,records,16,shared,65536,2.85,3.53,15,6291264,0
storage,slab,16,shared,65536,7.26,3.55,47,7340480,0
storage,packed,16,shared,65536,6.85,3.33,20,4194320,0
storage,records,16,borrowed,65536,14.34,10.87,65551,7339840,65536
storage,slab,16,borrowed,65536,7.09,3.42,47,7340480,0
storage,packed,16,borrowed,65536,7.36,3.49,20,4194320,0
storage,records,16,owned,65536,12.02,10.94,65551,7339840,65536
storage,slab,16,owned,65536,25.08,3.21,65583,8389056,0
storage,packed,16,owned,65536,21.84,3.56,65556,5242896,0
model,whole,16,na,65536,38.21,33.79,16,6291288,na
model,borrowed,16,na,65536,39.67,39.40,65551,7339840,na
model,stream,16,na,65536,126.87,34.96,65552,11009880,na
model,chunked,16,na,65536,160.39,33.03,196623,13107008,na
storage,records,64,shared,65536,2.84,3.62,15,6291264,0
storage,slab,64,shared,65536,9.24,3.52,143,10488128,0
storage,packed,64,shared,65536,9.45,3.36,19,9961420,1
storage,records,64,borrowed,65536,13.73,10.86,65551,10485568,65536
storage,slab,64,borrowed,65536,9.04,3.55,143,10488128,0
storage,packed,64,borrowed,65536,9.57,3.38,19,9961420,1
storage,records,64,owned,65536,11.97,11.02,65551,10485568,65536
storage,slab,64,owned,65536,24.95,3.51,65679,14682432,0
storage,packed,64,owned,65536,24.70,3.61,65555,14155724,1
model,whole,64,na,65536,37.59,32.77,16,6291288,na
model,borrowed,64,na,65536,40.72,39.82,65551,10485568,na
model,stream,64,na,65536,126.23,33.80,65552,11009880,na
model,chunked,64,na,65536,164.31,32.96,196623,16252736,na
storage,records,256,shared,65536,2.85,3.61,15,6291264,0
storage,slab,256,shared,65536,12.08,3.41,527,23078720,0
storage,packed,256,shared,65536,20.23,16.74,19,35127052,1
storage,records,256,borrowed,65536,16.01,10.97,65551,23068480,65536
storage,slab,256,borrowed,65536,12.20,3.46,527,23078720,0
storage,packed,256,borrowed,65536,22.71,16.83,19,35127052,1
storage,records,256,owned,65536,13.70,11.25,65551,23068480,65536
storage,slab,256,owned,65536,29.95,3.54,66063,39855936,0
storage,packed,256,owned,65536,40.07,16.37,65555,51904268,1
model,whole,256,na,65536,38.13,32.99,16,6291288,na
model,borrowed,256,na,65536,43.99,39.93,65551,23068480,na
model,stream,256,na,65536,122.37,33.24,65552,11009880,na
model,chunked,256,na,65536,170.18,33.46,196623,28835648,na
storage,records,1024,shared,65536,2.88,3.56,15,6291264,0
storage,slab,1024,shared,65536,28.53,3.36,2063,73441088,0
storage,packed,1024,shared,65536,66.58,29.72,19,135789580,1
storage,records,1024,borrowed,65536,33.90,11.56,65551,73400128,65536
storage,slab,1024,borrowed,65536,31.66,3.54,2063,73441088,0
storage,packed,1024,borrowed,65536,71.56,28.67,19,135789580,1
storage,records,1024,owned,65536,29.58,11.18,65551,73400128,65536
storage,slab,1024,owned,65536,61.09,3.59,67599,140549952,0
storage,packed,1024,owned,65536,94.34,24.15,65555,202898444,1
model,whole,1024,na,16384,37.87,33.46,14,1572696,na
model,borrowed,1024,na,16384,56.15,40.12,16397,18349888,na
model,stream,1024,na,16384,122.43,33.51,16398,2752344,na
model,chunked,1024,na,16384,180.88,33.19,49165,19791680,na
