scope,layout,payload,input_mode,frames,write_ns_per_frame,read_ns_per_frame,allocations,requested_bytes,first_read_allocations
storage,records,0,shared,65536,7.51,3.92,15,6291264,0
storage,slab,0,shared,65536,11.27,6.96,16,6291304,0
storage,packed,0,shared,65536,8.48,1.99,19,2097168,0
storage,records,0,borrowed,65536,5.64,1.77,15,6291264,0
storage,slab,0,borrowed,65536,7.64,4.68,16,6291304,0
storage,packed,0,borrowed,65536,6.41,1.50,19,2097168,0
storage,records,0,owned,65536,3.77,1.40,15,6291264,0
storage,slab,0,owned,65536,7.06,3.90,16,6291304,0
storage,packed,0,owned,65536,11.36,1.32,19,2097168,0
model,whole,0,na,65536,35.89,28.69,15,6291264,na
model,borrowed,0,na,65536,36.60,28.54,15,6291264,na
model,stream,0,na,65536,119.60,28.95,65551,11009856,na
model,chunked,0,na,65536,157.28,30.05,65551,11009856,na
storage,records,1,shared,65536,2.91,3.50,15,6291264,0
storage,slab,1,shared,65536,7.20,3.61,17,6356840,0
storage,packed,1,shared,65536,8.66,3.59,19,2097168,0
storage,records,1,borrowed,65536,13.30,11.27,65551,6356800,65536
storage,slab,1,borrowed,65536,7.24,3.60,17,6356840,0
storage,packed,1,borrowed,65536,8.37,3.66,19,2097168,0
storage,records,1,owned,65536,11.66,11.21,65551,6356800,65536
storage,slab,1,owned,65536,23.53,3.62,65553,6422376,0
storage,packed,1,owned,65536,20.45,3.73,65555,2162704,0
model,whole,1,na,65536,38.10,33.41,16,6291288,na
model,borrowed,1,na,65536,40.57,40.45,65551,6356800,na
model,stream,1,na,65536,124.11,32.60,65552,11009880,na
model,chunked,1,na,65536,160.55,32.64,196623,12648256,na
storage,records,16,shared,65536,2.86,3.29,15,6291264,0
storage,slab,16,shared,65536,7.22,3.46,47,7340480,0
storage,packed,16,shared,65536,7.29,3.46,20,4194320,0
storage,records,16,borrowed,65536,13.44,11.11,65551,7339840,65536
storage,slab,16,borrowed,65536,7.35,3.54,47,7340480,0
storage,packed,16,borrowed,65536,7.70,3.67,20,4194320,0
storage,records,16,owned,65536,11.93,10.78,65551,7339840,65536
storage,slab,16,owned,65536,24.32,3.48,65583,8389056,0
storage,packed,16,owned,65536,21.65,3.64,65556,5242896,0
model,whole,16,na,65536,37.17,32.23,16,6291288,na
model,borrowed,16,na,65536,40.08,40.01,65551,7339840,na
model,stream,16,na,65536,124.43,32.99,65552,11009880,na
model,chunked,16,na,65536,155.28,31.71,196623,13107008,na
storage,records,64,shared,65536,2.93,3.54,15,6291264,0
storage,slab,64,shared,65536,9.34,3.52,143,10488128,0
storage,packed,64,shared,65536,9.58,3.46,19,9961420,1
storage,records,64,borrowed,65536,13.73,11.12,65551,10485568,65536
storage,slab,64,borrowed,65536,9.36,3.60,143,10488128,0
storage,packed,64,borrowed,65536,10.15,3.72,19,9961420,1
storage,records,64,owned,65536,12.97,11.27,65551,10485568,65536
storage,slab,64,owned,65536,25.14,3.48,65679,14682432,0
storage,packed,64,owned,65536,25.88,3.73,65555,14155724,1
model,whole,64,na,65536,39.44,33.88,16,6291288,na
model,borrowed,64,na,65536,40.89,41.63,65551,10485568,na
model,stream,64,na,65536,124.68,33.23,65552,11009880,na
model,chunked,64,na,65536,160.12,32.68,196623,16252736,na
storage,records,256,shared,65536,2.72,3.58,15,6291264,0
storage,slab,256,shared,65536,12.38,3.54,527,23078720,0
storage,packed,256,shared,65536,19.94,15.89,19,35127052,1
storage,records,256,borrowed,65536,15.96,11.32,65551,23068480,65536
storage,slab,256,borrowed,65536,12.31,3.52,527,23078720,0
storage,packed,256,borrowed,65536,20.32,16.61,19,35127052,1
storage,records,256,owned,65536,13.49,10.94,65551,23068480,65536
storage,slab,256,owned,65536,30.07,3.54,66063,39855936,0
storage,packed,256,owned,65536,39.55,14.57,65555,51904268,1
model,whole,256,na,65536,37.57,32.25,16,6291288,na
model,borrowed,256,na,65536,44.12,40.35,65551,23068480,na
model,stream,256,na,65536,123.29,33.48,65552,11009880,na
model,chunked,256,na,65536,162.60,32.60,196623,28835648,na
storage,records,1024,shared,65536,2.85,3.51,15,6291264,0
storage,slab,1024,shared,65536,28.56,3.43,2063,73441088,0
storage,packed,1024,shared,65536,68.35,27.95,19,135789580,1
storage,records,1024,borrowed,65536,31.57,11.34,65551,73400128,65536
storage,slab,1024,borrowed,65536,27.90,3.51,2063,73441088,0
storage,packed,1024,borrowed,65536,66.14,29.17,19,135789580,1
storage,records,1024,owned,65536,32.84,11.21,65551,73400128,65536
storage,slab,1024,owned,65536,63.03,3.49,67599,140549952,0
storage,packed,1024,owned,65536,100.15,31.45,65555,202898444,1
model,whole,1024,na,16384,37.09,33.15,14,1572696,na
model,borrowed,1024,na,16384,55.62,39.21,16397,18349888,na
model,stream,1024,na,16384,125.99,33.36,16398,2752344,na
model,chunked,1024,na,16384,182.27,33.53,49165,19791680,na
